Locality,Type_of_property,Subtype_of_property,Price,TransactionType,No_of_rooms,Kitchen,IsFurnished,Fireplace_exist,Garden,Terrace,Surface_area_of_land,Living_area,Facade_count,Swimming_pool,State_of_building
Kattestraat   4,house,house,275000,for sale,3,1,0,0,1,0,579m2,140m2,nu,0,as new
Zonnebloemstraat   31,house,house,275000,for sale,2,0,0,0,0,1,390m2,134m2,3,0,as new
Wegvoeringstraat   20,house,mixed use building,279000,for sale,3,1,0,0,0,1,90m2,210m2,2,0,good
Rue du crucifix   84,house,apartment block,280000,for sale,4,1,0,0,0,0,418m2,197m2,3,0,to be done up
Rue Guillaume de Bleret   12,house,bungalow,280000,for sale,3,1,0,0,1,1,1238m2,155m2,4,0,good
Rue Jean Lejeune   19,house,house,285000,for sale,3,1,0,0,1,1,200m2,170m2,2,0,as new
Rue Vieille Voie de Liège   36,house,villa,285000,for sale,4,1,0,1,0,1,2229m2,nullm2,4,0,good
Bosstraat   44,house,house,295000,for sale,1,1,0,0,0,0,754m2,68m2,3,0,
"Diestsesteenweg   17,",house,house,295000,for sale,3,0,0,0,0,1,136m2,215m2,2,0,good
Zandstraat   4-6,house,house,295000,for sale,6,1,0,0,0,0,600m2,410m2,2,0,
Nieuwstraat   7,house,house,295000,for sale,3,1,0,0,0,1,168m2,165m2,2,0,just renovated
Regentiestraat   51,house,house,295000,for sale,3,1,0,0,0,1,355m2,170m2,2,0,good
Patattenstraat   14,house,house,295000,for sale,3,0,0,0,1,1,357m2,195m2,4,0,to renovate
4121    —        Neuville-en-Condroz      |,house,house,298000,for sale,3,0,0,1,1,1,150m2,145m2,3,0,good
Pater Verbiststraat   27,house,house,299000,for sale,6,1,0,0,1,0,257m2,367m2,nu,0,to renovate
Rue de la Barriere   37,house,house,299900,for sale,2,1,0,0,0,0,1470m2,221m2,3,0,good
1400    —        Nivelles      |,house,house,300000,for sale,6,1,0,0,0,1,80m2,200m2,3,0,just renovated
Rue Puits-en-Sock   152,house,house,310000,for sale,6,1,0,0,0,0,112m2,150m2,2,0,to be done up
Rue Puits-en-Sock   152,house,apartment block,310000,for sale,6,1,0,0,0,0,112m2,150m2,2,0,to be done up
7500    —        Tournai      |,house,house,310000,for sale,4,1,0,0,0,1,0m2,250m2,2,0,good
Plezantstraat   395,house,house,315000,for sale,6,0,0,0,1,0,290m2,290m2,2,0,to renovate
Grand-Rue   36,house,apartment block,320000,for sale,3,1,0,0,0,0,0m2,nullm2,nu,0,to be done up
Grand-Rue   36,house,mixed use building,320000,for sale,3,1,0,0,0,0,0m2,nullm2,nu,0,to be done up
Vriendschapstraat   38,house,house,320000,for sale,3,1,0,0,0,1,170m2,nullm2,2,0,just renovated
Koeweideweg   6,house,house,320000,for sale,3,1,0,0,1,1,371m2,180m2,3,0,as new
Constantin Meunierstraat   53,house,house,320000,for sale,5,1,0,0,0,1,242m2,nullm2,2,0,good
Meersstraat   130,house,house,325000,for sale,3,1,0,0,1,1,282m2,160m2,3,0,good
Meersstraat   130,house,house,325000,for sale,3,1,0,0,1,1,282m2,160m2,3,0,good
Molenbergstraat   92,house,house,325000,for sale,4,1,0,0,0,0,98m2,157m2,2,0,
7370    —        WIHÉRIES      |,house,villa,325000,for sale,4,1,0,0,0,0,0m2,282m2,3,0,to be done up
Rue du bon Dieu Gilles   8,house,apartment block,329000,for sale,12,1,0,0,1,0,829m2,300m2,2,0,
Welvaartstraat   90,house,house,329000,for sale,2,1,0,0,0,0,88m2,125m2,2,0,good
Petite Hollande   10,house,bungalow,339000,for sale,2,1,0,0,0,1,947m2,130m2,4,0,as new
Hommelstraat   9,house,house,339000,for sale,3,0,0,1,0,0,613m2,232m2,nu,0,as new
Olmendreefrede   19,house,house,339000,for sale,3,1,0,0,0,1,748m2,127m2,4,0,
Olmendreefrede   19,house,house,339000,for sale,3,1,0,0,0,1,748m2,127m2,4,0,
Heiveldstraat   27,house,house,340000,for sale,2,1,0,0,1,1,279m2,120m2,1,0,as new
Rue du Limbourg   74,house,country cottage,349000,for sale,3,1,0,0,1,1,1050m2,150m2,3,0,as new
Rue du Limbourg   74,house,house,349000,for sale,3,1,0,0,1,1,1050m2,150m2,3,0,as new
Bredestraat   130,house,house,349000,for sale,3,1,0,0,0,1,225m2,165m2,2,0,good
Kruisveldstraat   9,house,house,349000,for sale,3,1,0,0,0,1,226m2,195m2,2,0,as new
7390    —        Quaregnon      |,house,mixed use building,350000,for sale,2,1,0,0,0,0,320m2,350m2,3,0,
Lange Dijkstraat   84,house,house,355000,for sale,3,1,0,0,1,1,770m2,257m2,3,0,
Harmoniestraat   13,house,house,358000,for sale,3,1,0,0,1,0,135m2,171m2,2,0,just renovated
Kloosterbergstraat   38,house,house,359000,for sale,2,1,0,0,0,1,290m2,127m2,nu,0,good
Bunderstraat   48,house,house,359000,for sale,3,1,0,0,0,1,516m2,175m2,4,0,good
5600    —        Philippeville      |,house,house,360000,for sale,6,1,0,0,1,0,976m2,nullm2,3,0,good
Rue Des Quatre Chemins   4a,house,villa,360000,for sale,3,1,0,0,1,1,1127m2,nullm2,4,0,as new
Heilig-Hartstraat   44,house,house,360000,for sale,4,1,0,0,0,1,236m2,258m2,3,0,to renovate
Akkerstraat   16,house,house,360000,for sale,3,1,0,0,0,1,451m2,200m2,2,0,good
Grand Route   2,house,country cottage,362000,for sale,4,1,0,0,0,1,11522m2,216m2,4,0,good
Winterstraat   7,house,other property,365000,for sale,5,1,0,0,0,0,307m2,nullm2,2,0,good
7730    —        LEERS-NORD      |,house,house,365000,for sale,3,1,0,0,0,1,2526m2,200m2,4,0,good
Vijverstraat   9,house,house,365000,for sale,3,1,0,0,0,0,129m2,150m2,nu,0,just renovated
De Villegas De Clercampstraat   49,house,house,369000,for sale,3,1,0,0,1,1,200m2,nullm2,2,0,as new
Kleine Herstbergestraat   4,house,house,369000,for sale,4,0,0,0,0,1,58m2,nullm2,nu,0,just renovated
Oudekreekweg   3,house,house,369000,for sale,3,1,0,0,0,0,354m2,188m2,nu,0,as new
6280    —        Villers-poterie      |,house,villa,370000,for sale,3,1,0,0,1,1,3047m2,168m2,4,0,good
Moeshovenierstraat   2,house,house,375000,for sale,2,0,0,0,0,0,500m2,130m2,nu,0,good
1640    —        Rhode-Saint-Genese      |,house,house,375000,for sale,4,1,0,0,0,1,348m2,235m2,3,0,good
rue Henri Hautecoeur   142,house,villa,375000,for sale,4,1,0,0,0,1,1350m2,255m2,4,0,as new
Heestertstraat   1,house,house,378000,for sale,1,1,0,0,0,0,1229m2,nullm2,nu,0,to renovate
Wolvenstraat   24,house,house,378000,for sale,3,1,0,0,0,1,591m2,150m2,4,0,good
1410    —        Waterloo      |,house,bungalow,379000,for sale,3,1,0,1,0,0,519m2,110m2,4,0,to renovate
"Pylyserlaan   107,",house,house,379000,for sale,3,1,0,0,1,0,700m2,155m2,4,0,good
Rue Du Stincup Lobbecq   13,house,house,385000,for sale,3,0,0,0,1,1,480m2,210m2,3,0,as new
Gapaard   6,house,house,385000,for sale,5,1,0,0,0,1,6754m2,289m2,nu,0,as new
Kapellestraat   222,house,house,389000,for sale,3,1,0,0,1,1,210m2,206m2,2,0,
Liersesteenweg   275,house,house,389000,for sale,4,1,0,0,0,0,0m2,208m2,nu,0,to renovate
Pelsstraat   91,house,house,390000,for sale,3,1,0,0,1,1,20040m2,121m2,4,0,
1360    —        Perwez      |,house,house,395000,for sale,4,1,0,0,1,1,282m2,225m2,2,0,as new
"Nieuwstraat   4,",house,house,395000,for sale,4,0,0,0,1,0,159m2,161m2,2,0,as new
Chemin de Malmaison   15,house,country cottage,398000,for sale,3,0,0,0,0,1,4631m2,244m2,4,0,
Rue de l'Yser   35,house,country cottage,399000,for sale,7,0,0,0,0,0,2880m2,308m2,4,0,to renovate
"Maria Rosseelsstraat   14,",house,house,399000,for sale,4,0,0,0,0,0,360m2,120m2,3,0,good
Leeuwerikenlaan   2,house,house,400000,for sale,3,1,0,0,0,0,209m2,154m2,3,0,as new
Kanaalweg   93/1,house,house,415000,for sale,4,0,0,0,0,1,323m2,221m2,nu,0,as new
1982    —        ELEWIJT      |,house,house,425000,for sale,4,1,0,0,0,0,345m2,285m2,3,0,to renovate
6660    —        Houffalize      |,house,house,425000,for sale,4,1,0,0,1,1,2312m2,nullm2,4,0,
7800    —        Ath      |,house,manor house,425000,for sale,3,0,0,1,0,0,2000m2,116m2,3,0,to be done up
Wandelweg   7,house,house,425000,for sale,3,1,0,0,1,1,303m2,146m2,2,0,as new
Goosenbroeck   5,house,house,429000,for sale,4,1,0,0,0,1,524m2,142m2,4,0,as new
Goosenbroeck   5,house,house,429000,for sale,4,1,0,0,0,1,524m2,142m2,4,0,as new
Moriaanshoofd   8,house,villa,429000,for sale,5,0,0,0,0,1,1170m2,264m2,4,0,
"Kanunnik Duboisplein   2,",house,house,436000,for sale,5,1,0,0,0,0,412m2,349m2,2,0,good
De Tomermaat   14,house,house,440000,for sale,4,1,0,0,1,1,493m2,nullm2,3,0,as new
Gravin de Robianostraat   7,house,house,445000,for sale,4,1,0,0,0,1,1748m2,200m2,4,0,to renovate
2221    —        Heist-op-den-Berg Booischot      |,house,house,449000,for sale,3,1,0,0,0,1,963m2,230m2,4,0,good
Rue de Candries   9A,house,villa,449000,for sale,4,0,0,0,1,1,1941m2,180m2,4,0,good
"Magerhillestraat   33,",house,house,449000,for sale,4,1,0,0,0,1,938m2,193m2,3,0,good
Veerstraat   5-7,house,mixed use building,449000,for sale,5,1,0,0,0,1,260m2,576m2,2,0,good
6001    —        Marcinelle      |,house,villa,450000,for sale,3,1,0,1,0,0,1080m2,269m2,4,0,good
"Conservatoriumplein   7,",house,house,455000,for sale,6,0,0,0,0,0,130m2,350m2,1,0,good
Vieux Chemin de Binche   418,house,villa,460000,for sale,4,1,0,0,0,1,1182m2,190m2,4,0,as new
Rue Tranquille   1,house,house,465000,for sale,5,1,0,0,1,1,2700m2,262m2,4,0,as new
1180    —        Uccle      |,house,house,475000,for sale,3,0,0,0,0,1,189m2,125m2,nu,0,
Martelarenlaan   11,house,house,475000,for sale,3,1,0,0,0,1,967m2,214m2,4,0,
Nieuwstraat   138,house,house,479000,for sale,4,0,0,0,0,0,650m2,nullm2,2,0,good
Dijleweg   /,house,house,480000,for sale,3,1,0,0,1,0,339m2,185m2,nu,0,
1780    —        Wemmel      |,house,house,485000,for sale,4,0,0,1,1,1,306m2,270m2,nu,0,
Waversebaan   132,house,villa,485000,for sale,3,1,0,1,1,1,420m2,219m2,4,0,good
Tiensesteenweg   81,house,villa,495000,for sale,3,0,1,0,1,1,978m2,285m2,4,0,as new
Korenmaat   4,house,house,499000,for sale,4,0,0,0,1,0,9m2,245m2,4,0,good
Steenweg op Aalst   80,house,house,499000,for sale,6,0,0,0,0,0,915m2,475m2,nu,0,as new
Van Benedenlaan   69,house,mansion,519000,for sale,4,1,0,0,1,0,120m2,240m2,2,0,good
Clos de l'Epaisse Haie   3,house,villa,520000,for sale,4,1,0,0,0,1,1424m2,300m2,4,0,as new
Bankelindeweg   19,house,house,539000,for sale,6,1,0,0,0,0,3347m2,nullm2,4,0,good
Belgielaan   8,house,house,539000,for sale,4,1,0,0,0,1,717m2,224m2,nu,0,to be done up
Rue de Pepinster   96,house,mixed use building,540000,for sale,2,1,0,0,0,1,559m2,850m2,2,1,good
Marktweg   119,house,villa,549000,for sale,3,1,0,0,1,1,1550m2,500m2,4,1,good
1457    —        NIL-SAINT-VINCENT-SAINT-MARTIN      |,house,house,550000,for sale,3,1,0,0,0,1,4400m2,285m2,nu,0,to be done up
Margote   44,house,castle,550000,for sale,3,1,0,0,1,0,1357m2,252m2,4,0,to renovate
Speyestraat   81,house,house,550000,for sale,2,1,0,0,0,1,1254m2,nullm2,4,0,as new
3500    —        Hasselt      |,house,house,575000,for sale,4,1,0,0,0,0,230m2,318m2,2,0,
Nijvelsesteenweg   189,house,apartment block,585000,for sale,4,1,0,0,0,1,298m2,202m2,nu,0,good
Klaprozenweg   5,house,villa,595000,for sale,5,1,0,0,0,0,765m2,280m2,4,0,as new
1400    —        Nivelles      |,house,apartment block,600000,for sale,11,1,0,0,0,1,340m2,512m2,2,0,to be done up
rue des Harmonies   24,house,house,625000,for sale,7,1,0,0,0,1,316m2,nullm2,2,0,good
Schorenbosstraat   10,house,villa,625000,for sale,3,1,0,0,1,1,788m2,203m2,4,0,as new
Vennenlaan   67,house,country cottage,630000,for sale,2,1,0,0,1,1,2535m2,238m2,4,1,good
Boulevard Prince de Liège   35,house,mansion,648000,for sale,2,1,0,0,0,0,531m2,310m2,nu,0,to be done up
Cuylitsstraat   34,house,house,649000,for sale,4,1,0,0,1,1,100m2,165m2,2,0,good
1860    —        SINT-BRIXIUS-RODE      |,house,villa,650000,for sale,4,0,0,0,0,1,607m2,170m2,4,0,
4651    —        Herve      |,house,house,650000,for sale,3,1,1,1,1,1,1270m2,600m2,3,0,as new
Pastorijstraat   12,house,house,660000,for sale,4,1,0,0,1,1,0m2,300m2,2,0,as new
Rue Emmanuel Mertens - Emmanuel Mertensstraat   39,house,house,670000,for sale,5,1,0,0,1,1,215m2,nullm2,2,0,to restore
Chaussée de Nivelles   37,house,house,680000,for sale,5,1,0,1,0,0,1979m2,330m2,4,0,just renovated
Rue de Mons   20,house,house,700000,for sale,12,1,0,0,1,1,100m2,1500m2,nu,0,good
J.F. Kennedylaan   8,house,villa,719000,for sale,4,1,0,0,1,1,819m2,266m2,4,0,
1040    —        Etterbeek      |,house,house,725000,for sale,6,1,0,0,0,0,80m2,250m2,nu,0,good
2000    —        Antwerp      |,house,house,725000,for sale,3,1,0,0,0,1,77m2,221m2,2,0,good
Hasseltsestraat   35,house,villa,749000,for sale,4,0,0,0,0,1,3040m2,300m2,nu,0,as new
Rue D'angoussart   134,house,villa,750000,for sale,4,1,0,1,1,1,1600m2,250m2,4,0,as new
Rue du Mail 47             Box 0,house,apartment block,775000,for sale,5,1,0,0,1,1,165m2,285m2,2,0,
Avenue Albertyn   54,house,apartment block,795000,for sale,5,0,0,0,0,1,0m2,300m2,2,0,to renovate
Route d'Ottignies   31,house,house,795000,for sale,4,1,0,0,0,1,4250m2,315m2,4,0,to renovate
Naamsesteenweg   471A,house,villa,795000,for sale,4,1,0,1,0,1,1092m2,285m2,4,0,good
5530    —        SPONTIN      |,house,apartment block,800000,for sale,11,1,0,0,0,1,600m2,562m2,nu,0,just renovated
1860    —        Meise      |,house,villa,825000,for sale,5,0,0,0,0,0,2780m2,300m2,nu,0,as new
9280    —        Lebbeke      |,house,house,825000,for sale,5,1,0,1,1,1,1351m2,440m2,4,0,just renovated
Reyndersstraat   25,house,mixed use building,829000,for sale,3,1,0,0,0,0,83m2,308m2,3,0,
1050    —        Ixelles      |,house,apartment block,845000,for sale,6,1,0,0,1,1,0m2,302m2,2,0,to be done up
1160    —        Auderghem      |,house,apartment block,845000,for sale,6,1,0,0,1,1,0m2,302m2,2,0,to be done up
"Venneweg   5,",house,villa,850000,for sale,4,0,0,1,1,0,10000m2,250m2,4,0,good
Werchterplein   27,house,mansion,890000,for sale,6,1,0,0,0,0,1824m2,595m2,3,0,good
9420    —        ERPE MERE      |,house,villa,890000,for sale,3,1,0,1,0,0,718m2,484m2,4,0,
1180    —        Uccle      |,house,apartment block,895000,for sale,7,0,0,0,0,1,140m2,290m2,nu,0,to be done up
Dorpsstraat   150,house,villa,895000,for sale,3,1,0,0,0,1,950m2,265m2,nu,0,as new
1301    —        Wavre Bierges      |,house,house,930000,for sale,6,1,0,0,1,1,2000m2,420m2,4,1,good
2000    —        Antwerp      |,house,house,930000,for sale,6,1,0,0,0,0,0m2,273m2,2,0,just renovated
1410    —        Waterloo      |,house,house,945000,for sale,6,0,0,0,1,1,2400m2,255m2,4,1,good
Graaf Jansdijk   260,house,house,972000,for sale,4,1,0,0,0,1,160m2,154m2,2,0,
Reigerstraat   2,house,house,975000,for sale,3,1,0,1,1,1,715m2,225m2,4,0,as new
7712    —        Herseaux      |,house,house,987000,for sale,3,1,0,0,0,1,6610m2,209m2,4,0,good
9840    —        De Pinte      |,house,house,1125000,for sale,4,1,0,0,1,0,2500m2,240m2,4,0,
Hertog van Klevestraat   13,house,manor house,1150000,for sale,5,1,0,0,0,1,21530m2,392m2,4,0,good
1000    —        Bruxelles      |,house,apartment block,1180000,for sale,7,1,1,0,0,1,120m2,370m2,2,0,good
8300    —        Knokke-Heist      |,house,villa,1185000,for sale,4,1,0,0,0,1,709m2,238m2,4,0,as new
Weynesbaan   169,house,manor house,1195000,for sale,3,0,0,0,0,0,17219m2,268m2,,0,
Maagdekensstraat   33,house,house,1248000,for sale,6,1,0,0,0,1,4655m2,480m2,nu,0,just renovated
7760    —        Wortegem-Petegem      |,house,house,1250000,for sale,4,1,0,1,0,1,8568m2,229m2,4,0,good
7760    —        Wortegem-Petegem      |,house,villa,1250000,for sale,4,1,0,1,0,1,8568m2,229m2,4,0,good
7760    —        Wortegem-Petegem      |,house,exceptional property,1250000,for sale,4,1,0,1,0,1,8568m2,229m2,4,0,good
Ter Doeststraat   30,house,country cottage,1250000,for sale,7,1,1,0,0,1,10534m2,530m2,nu,0,as new
Dendermondse Steenweg   57          Box A,house,exceptional property,1290000,for sale,6,1,0,0,0,1,1700m2,368m2,4,0,as new
Avenue des Chasseurs   43,house,villa,1420000,for sale,5,1,0,0,0,1,2450m2,410m2,4,1,as new
Route d'Ottignies   31,house,house,1445000,for sale,4,1,0,0,0,1,9974m2,315m2,4,0,to renovate
1180    —        Uccle      |,house,villa,1500000,for sale,4,1,0,0,0,1,650m2,267m2,4,0,as new
Essendries   22,house,farmhouse,1650000,for sale,5,1,0,0,1,0,23000m2,250m2,4,0,as new
1150    —        Woluwe-Saint-Pierre      |,house,villa,1790000,for sale,7,1,0,0,1,1,1123m2,421m2,4,1,
Avenue des Rouges-Gorges   14,house,exceptional property,1850000,for sale,6,1,0,0,0,1,2471m2,607m2,4,0,as new
Achterstege   9,house,manor house,1950000,for sale,9,1,0,1,0,0,16000m2,460m2,nu,0,as new
1040    —        Etterbeek      |,house,house,1980000,for sale,7,1,0,0,1,1,565m2,485m2,3,0,
1380    —        Lasne      |,house,exceptional property,2100000,for sale,7,1,0,0,1,1,5870m2,450m2,4,1,as new
3140    —        Keerbergen      |,house,house,2249000,for sale,4,1,0,0,0,1,5707m2,432m2,4,1,as new
1640    —        St-Genesius-Rode      |,house,house,2690000,for sale,5,0,0,1,0,1,1900m2,600m2,nu,0,as new
Kleine Kerkhofstraat   133,house,exceptional property,2699000,for sale,4,0,1,0,1,1,4997m2,530m2,4,0,good
1050    —        Ixelles      |,house,exceptional property,2750000,for sale,6,1,0,0,1,1,690m2,668m2,2,0,as new
1640    —        Rhode-Saint-Genèse      |,house,house,2800000,for sale,6,1,0,0,1,1,2205m2,540m2,4,0,as new
1180    —        Uccle      |,house,villa,2950000,for sale,5,1,0,0,0,0,1980m2,600m2,4,0,just renovated
1000    —        Bruxelles      |,house,castle,3950000,for sale,14,1,0,0,1,1,153030m2,1240m2,4,0,as new
1700    —        Dilbeek      |,house,castle,3950000,for sale,14,1,0,0,1,1,153030m2,1240m2,4,0,as new
1740    —        Ternat      |,house,castle,3950000,for sale,14,1,0,0,1,1,153030m2,1240m2,4,0,as new
Rue de la Station   75a,house,house,300000,for sale,3,0,0,1,0,1,563m2,240m2,nu,0,as new
Bergense Steenweg   1035,house,apartment block,349000,for sale,1,1,0,0,0,0,0m2,138m2,nu,0,as new
Dr. J. Geensstraat   19,house,mansion,495000,for sale,6,1,0,0,0,0,2500m2,450m2,2,0,to renovate
1200    —        Woluwe Saint Lambert      |,house,house,745000,for sale,5,1,0,0,1,1,224m2,260m2,2,0,good
Vlamingstraat   29,house,house,255000,for sale,4,0,0,0,0,0,165m2,214m2,2,0,good
Baesberg   14,house,house,325000,for sale,3,0,0,0,0,0,667m2,148m2,3,0,
Drève des Soupirs   10,house,house,749000,for sale,5,0,0,0,0,0,3501m2,300m2,4,0,
9250    —        Waasmunster      |,house,villa,2550000,for sale,4,1,0,1,0,1,34773m2,437m2,4,0,
Roeselaarsestraat   149,house,house,218000,for sale,3,0,0,0,0,0,210m2,246m2,nu,0,to be done up
Broechemsesteenweg   251,house,house,339000,for sale,2,1,0,0,0,0,494m2,140m2,nu,0,just renovated
De Breyne Peellaertstraat   51,house,house,419000,for sale,6,0,0,0,1,0,226m2,350m2,3,0,to be done up
5660    —        Pesche      |,house,villa,205000,for sale,3,1,0,0,1,0,1200m2,245m2,3,0,
"Groenendaallaan   48,",house,house,215000,for sale,3,1,0,0,0,0,133m2,132m2,2,0,to be done up
9600    —        Ronse      |,house,house,235000,for sale,3,1,0,0,1,1,180m2,143m2,2,0,
"Merkemstraat   75,",house,house,310000,for sale,3,1,0,0,1,0,3160m2,159m2,4,0,to renovate
Broedersplein   11/..,house,mixed use building,314836,for sale,3,1,0,0,0,0,107m2,102m2,3,0,as new
Nollekensstraat   18,house,house,329000,for sale,5,1,0,0,0,0,0m2,190m2,2,0,
Vrijdaghoek   20,house,house,330000,for sale,3,1,0,0,0,0,307m2,152m2,nu,0,as new
Vrijdaghoek   20,house,house,330000,for sale,3,1,0,0,0,0,307m2,152m2,nu,0,as new
Vrijdaghoek   20,house,house,331000,for sale,3,1,0,0,0,0,312m2,121m2,nu,0,as new
Vrijdaghoek   20,house,house,331000,for sale,3,1,0,0,0,0,312m2,121m2,nu,0,as new
Vrijdaghoek   8,house,house,348000,for sale,3,1,0,0,0,0,412m2,121m2,nu,0,as new
Vrijdaghoek   8,house,house,348000,for sale,3,1,0,0,0,0,412m2,121m2,nu,0,as new
Vrijdaghoek   8,house,house,359000,for sale,3,1,0,0,0,0,511m2,121m2,nu,0,as new
Vrijdaghoek   8,house,house,359000,for sale,3,1,0,0,0,0,511m2,121m2,nu,0,as new
Liersesteenweg   79b,house,house,373800,for sale,3,1,0,0,0,0,312m2,156m2,2,0,as new
Liersesteenweg   79a,house,house,466200,for sale,3,1,0,0,0,0,538m2,156m2,3,0,as new
"Rubenslaan   1,",house,bungalow,487000,for sale,3,1,0,0,0,1,722m2,203m2,4,0,
"Rubenslaan   1,",house,bungalow,487000,for sale,3,1,0,0,0,1,722m2,203m2,4,0,
"Rubenslaan   1,",house,villa,487000,for sale,3,1,0,0,0,1,722m2,203m2,4,0,
"Rubenslaan   1,",house,villa,487000,for sale,3,1,0,0,0,1,722m2,203m2,4,0,
1560    —        Hoeilaart      |,house,house,880000,for sale,4,1,0,0,1,1,515m2,310m2,3,0,as new
Rijksweg   468,house,house,149000,for sale,2,1,0,0,1,0,239m2,170m2,3,0,to be done up
Rue Adolphe Rectem   55,house,house,175000,for sale,4,1,0,0,0,0,470m2,253m2,3,0,to be done up
Nieuwstraat   2/110,house,other property,197000,for sale,0,1,0,0,0,1,0m2,55m2,nu,0,as new
Rue du Pre aux Traineaux   8A,house,house,275000,for sale,3,1,0,0,1,1,650m2,141m2,3,0,
Rue du Pre aux Traineaux   8,house,house,275000,for sale,3,1,0,0,1,1,650m2,141m2,3,0,
Gentstraat   194,house,house,435000,for sale,4,0,0,0,0,1,1967m2,311m2,4,0,
1000    —        Bruxelles  1      |,house,house,468000,for sale,6,1,0,0,0,0,72m2,269m2,2,0,good
Plockroy   63,house,farmhouse,695000,for sale,3,0,0,0,0,1,54950m2,155m2,4,0,to renovate
Speistraat   16,house group,house group,315000 - 441000,for sale,,0,0,0,0,0,,nullm2,,0,
Rue du Palais   109,house,house,25000,for sale,6,0,0,0,0,0,360m2,348m2,2,0,to renovate
Rue de Henne   23,house,bungalow,55000,for sale,3,1,0,0,0,1,782m2,nullm2,4,1,good
Gouden-Hoofdstraat   2,house,house,259000,for sale,3,0,0,0,0,0,624m2,161m2,nu,0,to be done up
Wollemarkt   5,house,house,299000,for sale,4,0,0,0,0,0,189m2,160m2,nu,0,to be done up
7060    —        Soignies      |,house,house,300000,for sale,3,1,0,1,0,1,10m2,172m2,2,0,to be done up
Proosdijstraat   20,house,house,309000,for sale,3,0,0,1,0,1,145m2,159m2,nu,0,as new
"Peter Benoitstraat   73,",house,house,397500,for sale,4,0,0,0,0,0,326m2,195m2,3,0,good
Rue Albert Beriot   185,house,farmhouse,435000,for sale,4,1,0,0,1,1,3634m2,nullm2,4,0,good
Rue Gustave Derard   5,house,villa,530000,for sale,4,1,0,0,0,1,0m2,330m2,4,0,
Sportstraat   11-13,house,house,615000,for sale,4,0,0,0,1,0,150m2,175m2,nu,0,to be done up
De Limburg Stirumlaan   151,house,house,635000,for sale,4,0,0,0,0,1,395m2,190m2,2,0,to be done up
8530    —        Harelbeke      |,house,house,189000,for sale,2,1,0,0,0,0,64m2,82m2,3,0,
"Lentakkerlaan   11,",house,house,289000,for sale,3,1,0,1,0,1,366m2,160m2,3,0,good
"Hazelaarstraat   1,",house,villa,300000,for sale,4,0,0,1,0,0,1107m2,193m2,nu,0,to renovate
Domien Geersstraat   69,house,house,385000,for sale,2,1,0,1,1,1,505m2,nullm2,3,0,just renovated
Kempenstraat   67,house,house,150000,for sale,3,0,0,0,0,0,1636m2,136m2,3,0,to renovate
9000    —        Gent      |,house,house,285000,for sale,1,0,0,0,0,1,106m2,88m2,nu,0,
Schansstraat   145,house,house,313000,for sale,2,0,0,0,0,0,3460m2,126m2,nu,0,to renovate
1380    —        Lasne      |,house,house,1595000,for sale,7,0,0,0,0,1,2200m2,420m2,4,1,good
Bahnhofstraße   20,house,house,220000,for sale,2,0,0,0,0,0,304m2,nullm2,3,0,good
"Dokter Vannestestraat   1,",house,house,399000,for sale,4,1,0,0,0,0,272m2,285m2,3,0,to be done up
"Dokter Vannestestraat   1,",house,house,399000,for sale,4,1,0,0,0,0,272m2,285m2,3,0,to be done up
Louisalei   53,house,mansion,550000,for sale,4,0,0,0,1,0,360m2,242m2,3,0,as new
"Peerstraat   54,",house,house,249000,for sale,2,0,0,0,1,0,75m2,75m2,2,0,to be done up
4400    —        FLÉMALLE-HAUTE      |,house,house,259000,for sale,5,1,0,0,0,0,247m2,164m2,2,0,
Hoevelaan   6,house,house,285000,for sale,3,0,0,0,0,0,584m2,173m2,nu,0,to renovate
Gidsenlaan   86,house,house,295000,for sale,4,1,0,0,0,1,658m2,246m2,3,0,
Voldersstraat   99A,house,house,475000,for sale,2,0,0,0,0,1,0m2,154m2,4,0,
Voldersstraat   99A,house,bungalow,475000,for sale,2,0,0,0,0,1,0m2,154m2,4,0,
Albert Claeysstraat   2,house,house,475000,for sale,4,0,0,0,0,1,852m2,210m2,nu,0,as new
1950    —        Kraainem      |,house,exceptional property,1150000,for sale,10,1,0,0,0,1,1886m2,629m2,4,0,good
1420    —        Braine-l'Alleud      |,house,house,285000,for sale,2,1,0,0,0,1,164m2,102m2,nu,0,good
Lemméstraat   31,house,mansion,615000,for sale,5,0,0,0,0,0,100m2,386m2,2,0,
Beukenlaan   29,house,house,390000,for sale,4,1,0,0,1,1,505m2,nullm2,3,0,just renovated
1410    —        Waterloo      |,house,house,395000,for sale,3,0,0,0,0,0,351m2,120m2,4,0,to be done up
"rue des Genêts   1,B",house,apartment block,420000,for sale,5,0,0,0,0,0,1195m2,135m2,3,0,as new
Ruggeveldlaan   545,house,town house,449000,for sale,6,0,0,0,0,1,247m2,252m2,2,0,
1000    —        Bruxelles  1      |,house,house,1145000,for sale,5,1,0,0,0,0,86m2,320m2,2,0,
1404    —        Bornival      |,house,farmhouse,3200000,for sale,8,1,0,0,0,1,44500m2,750m2,4,1,good
Rue de Sélys   35,house,house,150000,for sale,3,1,0,0,0,0,408m2,nullm2,2,0,good
Avenue des Anciens Combattants   11,house,house,295000,for sale,3,1,0,0,1,0,481m2,170m2,3,0,as new
Spinnerijstraat   7,house,house,349500,for sale,3,0,0,0,0,1,256m2,149m2,nu,0,as new
