Locality,Type_of_property,Subtype_of_property,Price,TransactionType,No_of_rooms,Kitchen,IsFurnished,Fireplace_exist,Garden,Terrace,Surface_area_of_land,Living_area,Facade_count,Swimming_pool,State_of_building
Vlietbergstraat   1,house,country cottage,899000,for sale,7,1,0,1,0,0,1316m2,537m2,4,0,just renovated,
Grote Moerstraat   20,house,house,495000,for sale,4,1,0,0,1,0,631m2,207m2,4,0,to renovate,
Rue Sous les Vignes   44,house,house,239000,for sale,2,1,0,0,1,1,1514m2,134m2,4,0,to be done up,
Rue du Village   20,house,house,239000,for sale,4,1,0,0,1,1,310m2,116m2,3,0,to renovate,
Rue des Moutons   7,house,house,279000,for sale,3,1,0,0,1,1,1507m2,135m2,4,0,just renovated,
Rue Hanoteau   97,house,villa,450000,for sale,4,1,0,0,0,1,873m2,197m2,4,0,good,
Kortrijkstraat   130,house,villa,775000,for sale,5,1,0,0,0,1,7814m2,286m2,4,0,good,
6+8 Büllinger Straße, Krinkelt,house,house,297000,for sale,7,1,0,0,0,0,598m2,213m2,4,0,good
Hoge Buizemont   47,house,house,260000,for sale,4,1,0,0,0,0,2644m2,635m2,2,0,to renovate,
Rue de l'Hotel Communal   155-159,house,mixed use building,395000,for sale,5,1,0,0,1,1,1765m2,550m2,3,0,to be done up,
Parklaan   30,house,house,625000,for sale,4,1,0,0,1,1,535m2,190m2,4,0,to be done up,
Vlietbergstraat   1,house,country cottage,899000,for sale,7,1,0,1,0,0,1316m2,537m2,4,0,just renovated,
Vlietbergstraat   1,house,mixed use building,899000,for sale,7,1,0,1,0,0,1316m2,537m2,4,0,just renovated,
Londerzeelseweg   8          Box A,house,house,395000,for sale,3,0,0,0,1,0,360m2,185m2,2,0,good,
Rue Bordiau   28-30,house,mansion,1350000,for sale,6,0,0,0,0,1,189m2,360m2,2,0,to be done up,
Rue Henri Delvaux   58,house,house,375000,for sale,6,1,0,0,0,1,178m2,230m2,3,0,good,
Rue Joseph Van Hove   9,house,house,498000,for sale,5,1,0,0,0,1,121m2,240m2,2,0,as new,
Dreve de l'Infante   142,house,house,398500,for sale,3,1,0,0,1,1,240m2,150m2,3,0,good,
Juniorslaan   2,house,house,495000,for sale,3,1,0,0,0,0,838m2,170m2,4,0,just renovated,
Wilde Heide   39,house,other property,496000,for sale,3,1,0,0,0,1,1675m2,150m2,4,0,good,
Rue Félix Chaumont   139,house,house,149000,for sale,3,1,0,0,1,1,123m2,90m2,2,0,to be done up,
Lotusstraat   34,house,house,245000,for sale,2,1,0,0,1,0,154m2,122m2,2,0,good,
